Id,MSSubClass,MSZoning,Utilities,Neighborhood,BldgType,RoofMatl,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,GarageType,PavedDrive,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,StreetAlley,LandSlpContr,LotCondition,BsmtFinType,BsmtGrade,LotExterior,ExterGrade,GarageGrade,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade
1,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,856,GasA,Y,SBrkr,856,0,1710,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,208500,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,5,5.0,5,706,1.0,4,61,0,6.0
2,20,RL,AllPub,Veenker,1Fam,CompShg,CBlock,1262,GasA,Y,SBrkr,1262,0,1262,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,181500,1.5,1.5,1.5,2.5,2.5,8.0,3.5,4.0,31,31.0,31,978,0.5,2,298,0,7.0
3,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,920,GasA,Y,SBrkr,920,0,1786,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,223500,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,7,7.0,6,486,1.0,2,42,0,6.0
4,70,RL,AllPub,Crawfor,1Fam,CompShg,BrkTil,756,GasA,Y,SBrkr,961,0,1717,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Abnorml,140000,1.5,1.5,2.0,2.5,2.0,14.0,3.5,4.0,91,8.0,36,216,1.0,3,35,272,6.0
5,60,RL,AllPub,NoRidge,1Fam,CompShg,PConc,1145,GasA,Y,SBrkr,1145,0,2198,2,1,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,250000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,8,8.0,8,655,1.0,4,276,0,6.5
6,50,RL,AllPub,Mitchel,1Fam,CompShg,Wood,796,GasA,Y,SBrkr,796,0,1362,1,1,1,1,Typ,Attchd,Y,MnPrv,Shed,700,WD,Normal,143000,1.5,1.5,2.0,3.5,2.5,12.5,3.5,4.0,16,16.0,14,732,1.0,3,70,320,5.0
7,20,RL,AllPub,Somerst,1Fam,CompShg,PConc,1686,GasA,Y,SBrkr,1694,0,1694,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,307000,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,3,3.0,2,1369,1.0,3,312,0,6.5
8,60,RL,AllPub,NWAmes,1Fam,CompShg,CBlock,1107,GasA,Y,SBrkr,1107,0,2090,2,1,3,1,Typ,Attchd,Y,missing,Shed,350,WD,Normal,200000,1.5,1.5,3.0,0.5,2.5,6.0,3.5,4.0,36,36.0,36,891,1.0,3,439,228,6.5
9,50,RM,AllPub,OldTown,1Fam,CompShg,BrkTil,952,GasA,Y,FuseF,1022,0,1774,2,0,2,2,Min1,Detchd,Y,missing,missing,0,WD,Abnorml,129900,1.5,1.5,1.0,5.0,3.0,9.0,3.5,2.5,77,77.0,58,0,0.0,4,90,205,6.0
10,190,RL,AllPub,BrkSide,2fmCon,CompShg,BrkTil,991,GasA,Y,SBrkr,1077,0,1077,1,0,2,2,Typ,Attchd,Y,missing,missing,0,WD,Normal,118000,1.5,1.5,0.0,3.5,3.0,8.0,3.5,3.0,69,69.0,58,851,1.0,1,4,0,5.5
11,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,1040,GasA,Y,SBrkr,1040,0,1040,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,129500,1.5,1.5,2.0,4.5,3.0,6.0,3.5,4.0,43,43.0,43,906,1.0,1,0,0,5.0
12,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1175,GasA,Y,SBrkr,1182,0,2324,3,0,4,1,Typ,BuiltIn,Y,missing,missing,0,New,Partial,345000,1.5,1.5,2.0,3.5,1.5,14.5,2.0,4.0,1,1.0,0,998,1.0,6,168,0,7.0
13,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,912,GasA,Y,SBrkr,912,0,912,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,144000,1.5,1.5,2.0,2.5,3.0,8.0,3.5,4.0,46,46.0,46,737,1.0,1,140,176,5.5
14,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1494,GasA,Y,SBrkr,1494,0,1494,2,0,3,1,Typ,Attchd,Y,missing,missing,0,New,Partial,279500,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,1,1.0,0,0,0.0,3,193,0,6.0
15,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1253,GasA,Y,SBrkr,1253,0,1253,1,1,2,1,Typ,Attchd,Y,GdWo,missing,0,WD,Normal,157000,1.5,1.5,2.0,3.0,3.0,8.0,3.5,4.0,48,48.0,48,733,1.0,2,213,176,5.5
16,45,RM,AllPub,BrkSide,1Fam,CompShg,BrkTil,832,GasA,Y,FuseA,854,0,854,1,0,2,1,Typ,Detchd,Y,GdPrv,missing,0,WD,Normal,132000,1.5,1.5,2.0,5.0,3.0,13.5,3.5,4.0,78,16.0,6,0,0.0,2,160,0,7.5
17,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1004,GasA,Y,SBrkr,1004,0,1004,1,0,2,1,Typ,Attchd,Y,missing,Shed,700,WD,Normal,149000,1.5,1.5,2.0,2.5,3.0,13.5,3.5,4.0,40,40.0,40,578,1.0,2,0,0,6.5
18,90,RL,AllPub,Sawyer,Duplex,CompShg,Slab,0,GasA,Y,SBrkr,1296,0,1296,2,0,2,2,Typ,CarPort,Y,missing,Shed,500,WD,Normal,90000,1.5,1.5,2.0,6.0,4.0,8.0,3.5,4.0,39,39.0,39,0,0.0,2,0,0,4.5
19,20,RL,AllPub,SawyerW,1Fam,CompShg,PConc,1114,GasA,Y,SBrkr,1114,0,1114,1,1,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,159000,1.5,1.5,3.5,3.5,3.0,12.5,3.5,4.0,4,4.0,4,646,1.0,2,102,0,5.0
20,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1029,GasA,Y,SBrkr,1339,0,1339,1,0,3,1,Min1,Attchd,Y,MnPrv,missing,0,COD,Abnorml,139000,1.5,1.5,2.0,4.0,3.0,6.5,3.5,4.0,51,51.0,44,504,0.0,2,0,0,5.5
21,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1158,GasA,Y,SBrkr,1158,0,2376,3,1,4,1,Typ,BuiltIn,Y,missing,missing,0,New,Partial,325300,1.5,1.5,2.0,5.0,1.5,12.5,3.0,4.0,1,1.0,0,0,0.0,4,394,0,6.5
22,45,RM,AllPub,IDOTRR,1Fam,CompShg,PConc,637,GasA,Y,FuseF,1108,0,1108,1,0,3,1,Typ,Attchd,N,GdPrv,missing,0,WD,Normal,139400,0.5,0.0,2.0,5.0,3.0,13.5,3.5,4.0,77,77.0,57,0,0.0,2,0,205,7.0
23,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1777,GasA,Y,SBrkr,1795,0,1795,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,230000,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,6,6.0,6,0,0.0,3,330,0,6.5
24,120,RM,AllPub,MeadowV,TwnhsE,CompShg,PConc,1040,GasA,Y,SBrkr,1060,0,1060,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,129900,1.5,1.5,2.0,3.5,2.5,5.0,3.5,4.0,31,31.0,31,840,1.0,2,210,0,6.0
25,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,1060,GasA,Y,SBrkr,1060,0,1060,1,0,3,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,154000,1.5,1.5,2.0,2.0,3.0,9.5,2.5,4.0,42,42.0,9,856,1.0,2,496,0,6.5
26,20,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1566,GasA,Y,SBrkr,1600,0,1600,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,256300,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,2,2.0,2,0,0.0,3,56,0,6.5
27,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,900,GasA,Y,SBrkr,900,0,900,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,134800,1.5,1.5,2.0,2.5,3.0,13.5,3.5,4.0,59,5.0,10,720,0.5,1,254,0,6.0
