Id,MSSubClass,MSZoning,LotShape,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MiscVal,SaleType,SaleCondition,SalePrice,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade,StreetAlley,LandSlopeContour,LotCondition,BsmtFinType,BsmtGrade,ExterGrade
1,60,3.0,3.0,0.0,4.0,5.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,3.0,856,1.0,0.0,1.0,4.0,856,0,1710,2,1,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,208500,5,5.0,5,706,1.0,4,61,0,6.0,1.5,1.5,2.0,3.5,2.5,3.0
2,20,3.0,3.0,0.0,2.0,24.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,1.0,1.0,1262,1.0,0.0,1.0,4.0,1262,0,1262,2,0,3,1,3.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,181500,31,31.0,31,978,0.5,2,298,0,7.0,1.5,1.5,1.5,2.5,2.5,3.5
3,60,3.0,0.0,0.0,4.0,5.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,2.0,920,1.0,0.0,1.0,4.0,920,0,1786,2,1,3,1,2.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,223500,7,7.0,6,486,1.0,2,42,0,6.0,1.5,1.5,2.0,3.5,2.5,3.0
4,70,3.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,1.0,13.0,15.0,3.0,0.0,3.0,756,1.0,2.0,1.0,4.0,961,0,1717,1,0,3,1,2.0,6.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,0.0,140000,91,8.0,36,216,1.0,3,35,272,6.0,1.5,1.5,2.0,2.5,2.0,3.5
5,60,3.0,0.0,0.0,2.0,15.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,0.0,1145,1.0,0.0,1.0,4.0,1145,0,2198,2,1,4,1,2.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,250000,8,8.0,8,655,1.0,4,276,0,6.5,1.5,1.5,2.0,3.5,2.5,3.0
6,50,3.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,1.0,12.0,13.0,3.0,5.0,3.0,796,1.0,0.0,1.0,4.0,796,0,1362,1,1,1,1,3.0,6.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,700,8.0,4.0,143000,16,16.0,14,732,1.0,3,70,320,5.0,1.5,1.5,2.0,3.5,2.5,3.5
7,20,3.0,3.0,0.0,4.0,21.0,0.0,2.0,1.0,1.0,12.0,13.0,2.0,2.0,0.0,1686,1.0,0.0,1.0,4.0,1694,0,1694,2,0,3,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,307000,3,3.0,2,1369,1.0,3,312,0,6.5,1.5,1.5,2.0,3.5,1.5,3.0
8,60,3.0,0.0,0.0,0.0,14.0,0.0,5.0,1.0,1.0,6.0,6.0,2.0,1.0,2.0,1107,1.0,0.0,1.0,4.0,1107,0,2090,2,1,3,1,3.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,350,8.0,4.0,200000,36,36.0,36,891,1.0,3,439,228,6.5,1.5,1.5,3.0,0.5,2.5,3.5
9,50,4.0,3.0,0.0,4.0,17.0,0.0,0.0,1.0,1.0,3.0,15.0,3.0,0.0,3.0,952,1.0,2.0,1.0,1.0,1022,0,1774,2,0,2,2,3.0,2.0,4.0,5.0,2.0,1.0,4.0,2.0,4.0,0,8.0,0.0,129900,77,77.0,58,0,0.0,4,90,205,6.0,1.5,1.5,1.0,5.0,3.0,3.5
10,190,3.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,8.0,8.0,3.0,0.0,3.0,991,1.0,0.0,1.0,4.0,1077,0,1077,1,0,2,2,3.0,6.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,0,8.0,4.0,118000,69,69.0,58,851,1.0,1,4,0,5.5,1.5,1.5,0.0,3.5,3.0,3.5
11,20,3.0,3.0,0.0,4.0,19.0,0.0,2.0,3.0,1.0,6.0,6.0,3.0,1.0,3.0,1040,1.0,0.0,1.0,4.0,1040,0,1040,1,0,3,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,129500,43,43.0,43,906,1.0,1,0,0,5.0,1.5,1.5,2.0,4.5,3.0,3.5
12,60,3.0,0.0,0.0,4.0,16.0,0.0,5.0,3.0,1.0,14.0,15.0,2.0,2.0,3.0,1175,1.0,0.0,1.0,4.0,1182,0,2324,3,0,4,1,0.0,6.0,2.0,3.0,0.0,4.0,4.0,2.0,4.0,0,6.0,5.0,345000,1,1.0,0,998,1.0,6,168,0,7.0,1.5,1.5,2.0,3.5,1.5,2.0
13,20,3.0,1.0,0.0,4.0,19.0,0.0,2.0,3.0,1.0,6.0,10.0,3.0,1.0,3.0,912,1.0,4.0,1.0,4.0,912,0,912,1,0,2,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,144000,46,46.0,46,737,1.0,1,140,176,5.5,1.5,1.5,2.0,2.5,3.0,3.5
14,20,3.0,0.0,0.0,4.0,5.0,0.0,2.0,1.0,1.0,12.0,13.0,2.0,2.0,0.0,1494,1.0,0.0,1.0,4.0,1494,0,1494,2,0,3,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,6.0,5.0,279500,1,1.0,0,0,0.0,3,193,0,6.0,1.5,1.5,2.0,5.0,2.5,3.0
15,20,3.0,0.0,0.0,0.0,12.0,0.0,2.0,3.0,1.0,8.0,8.0,1.0,1.0,3.0,1253,1.0,4.0,1.0,4.0,1253,0,1253,1,1,2,1,3.0,6.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,0,8.0,4.0,157000,48,48.0,48,733,1.0,2,213,176,5.5,1.5,1.5,2.0,3.0,3.0,3.5
16,45,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,13.0,14.0,3.0,0.0,3.0,832,1.0,0.0,1.0,0.0,854,0,854,1,0,2,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,0.0,0,8.0,4.0,132000,78,16.0,6,0,0.0,2,160,0,7.5,1.5,1.5,2.0,5.0,3.0,3.5
17,20,3.0,0.0,0.0,1.0,12.0,0.0,2.0,1.0,1.0,13.0,14.0,1.0,1.0,3.0,1004,1.0,0.0,1.0,4.0,1004,0,1004,1,0,2,1,3.0,6.0,4.0,1.0,0.0,4.0,4.0,2.0,4.0,700,8.0,4.0,149000,40,40.0,40,578,1.0,2,0,0,6.5,1.5,1.5,2.0,2.5,3.0,3.5
